4 #anatomical sites
8 #samples
248 #mutations
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	ref	var
0	P_0	0	P	0	0	111	88
0	P_0	0	P	1	6	117	87
0	P_0	0	P	2	9	110	86
0	P_0	0	P	3	10	122	90
0	P_0	0	P	4	11	118	87
0	P_0	0	P	5	12	140	61
0	P_0	0	P	6	13	135	70
0	P_0	0	P	7	14	137	70
0	P_0	0	P	8	15	132	62
0	P_0	0	P	9	16	140	74
0	P_0	0	P	10	17	119	59
0	P_0	0	P	11	18	146	60
0	P_0	0	P	12	19	140	71
0	P_0	0	P	13	20	139	61
0	P_0	0	P	14	21	131	66
0	P_0	0	P	15	22	131	73
0	P_0	0	P	16	23	163	81
0	P_0	0	P	17	24	161	83
0	P_0	0	P	18	25	148	58
0	P_0	0	P	19	26	136	68
0	P_0	0	P	20	27	148	57
0	P_0	0	P	21	28	128	67
0	P_0	0	P	22	29	151	67
0	P_0	0	P	23	30	139	75
0	P_0	0	P	24	31	137	67
0	P_0	0	P	25	32	143	57
0	P_0	0	P	26	33	154	52
0	P_0	0	P	27	34	129	61
0	P_0	0	P	28	35	141	65
0	P_0	0	P	29	36	114	68
0	P_0	0	P	30	37	132	66
0	P_0	0	P	31	38	135	81
0	P_0	0	P	32	39	117	72
0	P_0	0	P	33	40	108	62
0	P_0	0	P	34	41	136	66
0	P_0	0	P	35	42	162	77
0	P_0	0	P	36	43	124	62
0	P_0	0	P	37	44	137	76
0	P_0	0	P	38	45	119	59
0	P_0	0	P	39	46	131	64
0	P_0	0	P	40	47	146	59
0	P_0	0	P	41	48	136	70
0	P_0	0	P	42	49	134	66
0	P_0	0	P	43	50	127	60
0	P_0	0	P	44	51	141	77
0	P_0	0	P	45	52	148	69
0	P_0	0	P	46	53	121	67
0	P_0	0	P	47	54	121	66
0	P_0	0	P	48	55	131	73
0	P_0	0	P	49	56	127	69
0	P_0	0	P	50	57	130	57
0	P_0	0	P	51	58	148	24
0	P_0	0	P	52	59	176	43
0	P_0	0	P	53	60	168	17
0	P_0	0	P	54	61	214	7
0	P_0	0	P	55	62	185	14
0	P_0	0	P	56	63	161	12
0	P_0	0	P	57	64	176	11
0	P_0	0	P	58	66	170	14
0	P_0	0	P	59	67	200	0
0	P_0	0	P	60	68	185	8
0	P_0	0	P	61	69	223	0
0	P_0	0	P	62	70	202	15
0	P_0	0	P	63	72	193	0
0	P_0	0	P	64	74	207	1
0	P_0	0	P	65	75	192	14
0	P_0	0	P	66	77	190	0
0	P_0	0	P	67	79	191	0
0	P_0	0	P	68	80	229	1
0	P_0	0	P	69	81	212	0
0	P_0	0	P	70	82	186	0
0	P_0	0	P	71	83	201	0
0	P_0	0	P	72	84	199	0
0	P_0	0	P	73	86	185	0
0	P_0	0	P	74	87	205	0
0	P_0	0	P	75	88	201	0
0	P_0	0	P	76	89	212	0
0	P_0	0	P	77	90	193	0
0	P_0	0	P	78	91	217	0
0	P_0	0	P	79	92	178	0
0	P_0	0	P	80	93	184	2
0	P_0	0	P	81	94	216	1
0	P_0	0	P	82	95	213	0
0	P_0	0	P	83	96	215	0
0	P_0	0	P	84	97	196	0
0	P_0	0	P	85	98	189	0
0	P_0	0	P	86	99	200	0
0	P_0	0	P	87	100	159	0
0	P_0	0	P	88	101	188	0
0	P_0	0	P	89	102	207	0
0	P_0	0	P	90	103	180	0
0	P_0	0	P	91	104	216	0
0	P_0	0	P	92	105	203	0
0	P_0	0	P	93	106	206	1
0	P_0	0	P	94	107	183	0
0	P_0	0	P	95	108	204	0
0	P_0	0	P	96	109	179	0
0	P_0	0	P	97	110	196	0
0	P_0	0	P	98	111	193	0
0	P_0	0	P	99	112	200	0
